id,title,abstract
1,厦门市思明区鹭威达制衣厂,制售;服装
2,厦门贵族世家工贸有限公司,生产加工销售服装;箱包;批发零售建筑材料;五金交电;家用电器;家政服务;清洁服务
3,厦门浩辰文化传媒有限公司,广告设计;代理;发布;会展服务;文化活动策划;经济信息咨询;建筑工程信息咨询;设计;制作;销售工艺品;仅限委托其他合法的市场制作;销售文化用品
4,厦门市远瞩工贸有限公司,批发零售;包装材料;五金;交电;化工原料;日用百货;塑料制品;金属材料;电子产品;建筑材料;装饰材料;塑料制品加工
5,厦门星鲨药业集团有限公司分析仪器厂,通用仪器仪表;电子器件;电子元件;塑料制品的制造;销售
6,厦门市思明区骆丽珍豆制品摊,零售;豆制;咸菜
7,厦门市思明区彭军华建材店,其他室内装饰材料零售
8,厦门市思明区谢志浩建材店,陶瓷;石材装饰材料零售;涂料零售;家具零售;五金零售
9,厦门市思明区张海蓉电器店,其他电子产品零售
10,厦门德旺旺建筑装饰有限公司,其他金属加工机械制造;五金产品批发;五金零售;建设工程勘察设计;钢结构工程施工;建材批发;其他室内装饰材料零售;其他日用品零售;金属制品修理;其他机械和设备修理业;建筑装饰业;园林景观和绿化工程施工
11,厦门市思明区博誉音响商店,零售;音响器材
12,厦门市思明区鸿星岩商行,零售;日用百货;化妆品及咨询服务
13,厦门市思明区光明无线电厂,镇流器;变压器
14,厦门芳芳洗涤联合公司（98.10吊销）,合成洗涤批发
15,厦门市思明区鹭盾日用品信息咨询服务部,其他日用品零售;其他未列明居民服务业
16,厦门星鲨仪器有限公司,电工仪器仪表制造;实验分析仪器制造;供应用仪表及其他通用仪器制造;环境监测专用仪器仪表制造;电子测量仪器制造;其他专用仪器制造;其他电子设备制造;三类医疗器械批发
17,厦门市思明区良碧蔬菜摊,零售;蔬菜
18,厦门曼德企业管理顾问有限公司,企业管理顾问;企业管理咨询;企业营销策划;投资管理咨询;商务信息咨询;教育信息咨询;文化活动组织策划;广告设计;制作;代理;发布
19,厦门市思明区跃辉食品店,其他未列明预包装食品零售;含冷藏冷冻食品;烟草制品零售
20,厦门市绿林豪客食品有限公司,预包装食品零售
21,厦门天意置业有限公司,房地产开发经营;物业管理;园林景观和绿化工程施工;建筑装饰业;其他未列明建筑安装业;建材批发;家具零售;陶瓷;石材装饰材料零售;其他室内装饰材料零售;投资咨询;企业管理咨询;商务信息咨询;其他文化艺术经纪代理;互联网接入及相关服务;软件开发;信息系统集成服务;互联网销售
22,厦门星征辰商贸有限公司,建材批发;纺织品;针织品及原料批发;服装批发;鞋帽批发;化妆品及卫生用品批发;厨房;卫生间用具及日用杂货批发;灯具;装饰物品批发;家用电器批发;其他家庭用品批发;文具用品批发;体育用品及器材批发;首饰;工艺品及收藏品批发;其他文化用品批发;第一类医疗器械批发;第二类医疗器械批发;煤炭及制品批发;...其他未列明批发业
23,厦门市宝洁达洗涤发展有限公司,服装洗涤;批发零售洗涤机械;缝纫设备;化工原料;百货;针纺织品;服装辅料
24,厦门市小鱼零嘴电子商务有限公司,预包装食品零售;散装食品零售;面包零售;糕点;糖果及糖批发;其他预包装食品批发;其他散装食品批发;互联网信息服务;水产品零售;其他未列明零售业;水产品批发;果品批发;肉;禽;蛋批发;果品零售;蔬菜零售;其他互联网服务;其他未列明信息技术服务业;互联网销售
25,厦门市云之燕商贸有限公司,纺织品;针织品及原料批发;服装批发;鞋帽批发;化妆品及卫生用品批发;厨房;卫生间用具及日用杂货批发;灯具;装饰物品批发;家用电器批发;其他家庭用品批发;文具用品批发;汽车零配件批发;五金产品批发;电气设备批发;软件及辅助设备批发;通讯及广播电视设备批发;其他机械设备及电子产品批发;经营各类商品和技术的进出口...互联网销售
26,厦门天竣安装工程有限公司,管道和设备安装;电气安装;建筑装饰业;园林景观和绿化工程施工;其他未列明建筑安装业;土石方工程;其他未列明土木工程建筑;五金零售;陶瓷;石材装饰材料零售;其他室内装饰材料零售;卫生洁具零售;涂料零售;灯具零售;其他电子产品零售;建材批发;金属及金属矿批发
27,厦门市思明区瑞粉水果店,零售;水果
28,厦门市创数睿科技有限公司,软件开发;软件及辅助设备批发;电气设备批发;通讯及广播电视设备批发;其他机械设备及电子产品批发;经营各类商品和技术的进出口;计算机;软件及辅助设备零售;通信设备零售;其他电子产品零售;互联网销售;互联网接入及相关服务;其他互联网服务;信息系统集成服务;信息技术咨询服务;...其他未列明的机械与设备租赁
29,厦门璀璨星辰咨询管理有限公司,企业管理咨询;其他未列明的专业咨询服务;市场调查;会议及展览服务;包装服务;提供企业营销策划服务;化妆品及卫生用品批发;其他家庭用品批发;其他机械设备及电子产品批发;贸易代理;化妆品及卫生用品零售;其他未列明零售业;信息技术咨询服务;其他电子产品零售
30,厦门市思明区水枝花食品店,零售;食品
31,厦门市思明区瑞云食品店,其他未列明预包装食品零售;酒;饮料及茶叶类预包装食品零售;含冷藏冷冻食品;烟草制品零售
32,厦门市思明区琴晓丽蔬菜店,零售;蔬菜
33,厦门市思明区朱建娥食品店,预包装食品零售;散装食品零售
34,厦门市思明区华欣羽毛厂,羽毛制品
35,厦门市思明区阮亚花食品摊,其他未列明预包装食品零售;其他未列明散装食品零售
36,厦门市思明区汪素贞食肉摊,零售;食肉
37,厦门市思明区郑月英水产摊,零售;水产
38,厦门市思明区玛立英信息咨询服务部,信息咨询
39,厦门市希络云网络科技有限公司,软件开发;软件及辅助设备批发;纺织品及针织品零售;服装零售;鞋帽零售;化妆品及卫生用品零售;钟表;眼镜零售;厨房用具及日用杂品零售;箱;包零售;自行车零售;其他日用品零售;文具用品零售;体育用品及器材零售;珠宝首饰零售;工艺美术品及收藏品零售;乐器零售;照相器材零售;其他文化用品零售;...信息系统集成服务
40,厦门艾帝儿进出口贸易有限公司,经营各类商品和技术的进出口;批发;零售化工材料;化学危险品及监控化学品除外;机械电子设备;五金交电;建筑材料;日用百货
41,厦门市思明区兆顺化建经营部,建筑材料;化工原料及产品;装饰材料
42,厦门飞得姆电子商务有限公司,互联网信息服务;快递服务;软件开发;其他仓储业
43,厦门市思明区运美邻便利店,酒;饮料及茶叶类预包装食品零售;含冷藏冷冻食品;烟草制品零售;其他未列明散装食品零售;其他未列明预包装食品零售;蔬菜零售;其他日用品零售
44,厦门市思明区佳美惠便利店,预包装食品零售;散装食品零售;烟草制品零售
45,念海贸易（厦门）有限公司,服装批发;鞋帽批发;纺织品;针织品及原料批发;化妆品及卫生用品批发;其他家庭用品批发;纺织品及针织品零售;服装零售;鞋帽零售;化妆品及卫生用品零售;钟表;眼镜零售;箱;包零售;其他日用品零售;其他未列明零售业;其他未列明批发业;贸易代理;其他贸易经纪与代理;其他机械设备及电子产品批发;五金产品批发;...发布
46,厦门市思明区珠港老人活动室,服务;象棋;围棋;台球
47,厦门清美宏业广告有限公司,广告的设计;制作;代理;发布;会议及展览服务;建筑装饰业
48,厦门漫悠乐网络科技有限公司,软件开发;信息技术咨询服务;信息系统集成服务;数据处理和存储服务;动画;漫画设计;制作;通信设备零售;软件及辅助设备零售;计算机;软件及辅助设备批发;其他机械设备及电子产品批发;其他未列明信息技术服务业
49,思明区不见天居委会,
50,厦门市思明区芳许武食肉摊,肉;禽;蛋零售
51,厦门市思明区李玉华水果店,零售;水果
52,厦门市思明区卡思奇玩具店,零售;儿童玩具
53,厦门嘉禾屿生物科技有限公司,生物技术推广服务;保健食品零售;饮料及茶叶零售;保健食品批发;酒;饮料及茶叶批发;服装批发;鞋帽批发;纺织品;针织品及原料批发;化妆品及卫生用品批发;灯具;装饰物品批发;其他家庭用品批发;厨房;卫生间用具及日用杂货批发;纺织品及针织品零售;服装零售;鞋帽零售;化妆品及卫生用品零售;钟表;...其他日用品零售
54,厦门佰兰进出口有限公司,经营各类商品和技术的进出口;鞋帽批发;服装批发;化妆品及卫生用品批发;灯具;装饰物品批发;其他家庭用品批发;文具用品批发;其他文化用品批发;建材批发;五金产品批发;纺织品;针织品及原料批发;鞋帽零售;钟表;眼镜零售;箱;包零售;其他日用品零售;纺织品及针织品零售;文具用品零售;珠宝首饰零售;...其他贸易经纪与代理
55,厦门市润业企管咨询有限公司,
56,厦门市思明区宏宇贸易公司,五金;交电;化工;日用百货;金属材料;家俱
57,厦门市可森财务管理有限公司,从事会计代理记账业务;提供税务服务
58,厦门昌销商贸有限公司,软件及辅助设备批发;摩托车零配件批发;五金产品批发;电气设备批发;计算机;软件及辅助设备零售;通信设备零售;家用视听设备零售;日用家电设备零售;互联网销售;服装批发;鞋帽批发
59,厦门顺昌泰建筑有限公司,房屋建筑业;建筑装饰业;建筑物拆除活动;其他工程准备活动;电气安装;管道和设备安装;其他未列明土木工程建筑;五金零售;灯具零售;家具零售;涂料零售;卫生洁具零售;陶瓷;石材装饰材料零售;其他室内装饰材料零售;建材批发
60,厦门仓达体育文化有限公司,体育用品及器材批发;服装批发;鞋帽批发;服装零售;鞋帽零售;体育用品及器材零售
61,厦门市景维置业顾问有限公司,房地产投资咨询;房地产营销策划;企业投资咨询;批发零售;建筑装饰材料;机械设备
62,厦门迪龙商贸有限公司,建材批发;五金产品批发;其他机械设备及电子产品批发;商务信息咨询;企业管理咨询;投资咨询;汽车租赁
63,永安信（厦门）股权投资基金合伙企业（有限合伙）,运用本基金资产对未上市企业或股权投资企业进行投资
64,厦门永明厦贸易有限公司,批发零售节能灯;电子产品;建筑装饰材料;日用百货
65,厦门丰泽园房地产有限公司,房地产开发;批发零售建筑材料;装饰材料;经济信息咨询
66,厦门计寒绿贸易有限公司,建材批发;煤炭及制品批发;金属及金属矿批发;化肥批发;其他化工产品批发;纺织品;针织品及原料批发;服装批发;鞋帽批发;化妆品及卫生用品批发;厨房;卫生间用具及日用杂货批发;灯具;装饰物品批发;家用电器批发;其他家庭用品批发;首饰;工艺品及收藏品批发;第一类医疗器械批发;第二类医疗器械批发;...其他未列明批发业
67,厦门市淳森优品贸易有限公司,米;面制品及食用油批发;糖果及糖批发;饮料及茶叶批发;其他预包装食品批发;其他散装食品批发;批发;粮油零售;糕点;面包零售;酒;饮料及茶叶零售;预包装食品零售;散装食品零售;乳制品;含婴幼儿配方奶粉;零售;经营各类商品和技术的进出口;其他未列明批发业;食品添加剂批发;互联网销售;其他未列明零售业;...其他日用品零售
68,厦门市思明区欢喜亿家便利店,酒;饮料及茶叶类预包装食品零售;其他未列明预包装食品零售;烟草制品零售;保健食品零售;其他未列明散装食品零售;含冷藏冷冻食品;其他日用品零售;肉;禽;蛋零售;蔬菜零售;果品零售
69,厦门维尔美服装工贸公司,百货;针纺织品;五金交电;化工;化工原料;金属材料;汽车零部件;建筑材料;粮油;水产品;室内装饰;设计
70,厦门市思明区书柏劳动服务部,装卸搬运
71,厦门市思明区林远芳手机店,通信设备零售
72,厦门市思明区林银水家禽摊,零售;家禽
73,厦门市玉河机电有限公司,批发;零售汽车零配件;摩托车及零配件;五金交电化工;化学危险品除外;建筑材料;金属材料
74,厦门中闽尚运汽车租赁有限公司,汽车租赁;建筑工程机械与设备租赁;其他未列明的机械与设备租赁;汽车维护与保养
75,厦门彬通贸易有限公司,服装批发;鞋帽批发;化妆品及卫生用品批发;厨房;卫生间用具及日用杂货批发;家用电器批发;其他家庭用品批发;其他机械设备及电子产品批发;软件及辅助设备批发;计算机;软件及辅助设备零售;首饰;工艺品及收藏品批发;厨房用具及日用杂品零售;其他化工产品批发;金属及金属矿批发;汽车零配件批发;五金产品批发;...企业管理咨询
76,厦门慕燕贸易有限公司,销售;工艺品;饰品;竹木制品;陶瓷制品;橡胶制品;塑料制品;玻璃制品;服装;纺织品;电子产品;家居用品;经营各类商品和技术的进出口
77,厦门市思明区柯鹭鹏茶叶店,预包装食品零售;酒;饮料及茶叶零售
78,厦门龙图贸易有限公司（98.10吊销）,化工原料;纺织原料;电子产品及通信设备;金属材料;建筑材料;粮油;副食品;汽车摩托车零部件;煤炭;石油制品;五金交电;百货;茶叶;陶瓷制品;工艺美术品;批发;零售;代购;代销;信息咨询服务
79,厦门市思明区张菊香食肉摊,肉类
80,厦门市思明区鑫润万家便利店,果品零售;蔬菜零售;肉;禽;蛋零售;水产品零售;酒;饮料及茶叶零售;烟草制品零售;预包装食品零售;乳制品;零售;其他日用品零售
81,厦门市思明区郑金城食肉摊,零售;食肉
82,厦门市思明区万喜佳便利店,预包装食品零售;散装食品零售;糕点;面包零售;酒;饮料及茶叶零售;烟草制品零售;果品零售;蔬菜零售;肉;禽;蛋零售;水产品零售;其他日用品零售;文具用品零售;体育用品及器材零售;日用家电设备零售
83,厦门市思明区施建新电器经营部,日用家电设备零售
84,厦门市思明区瑞兴物业管理公司,代办楼房;住房销售;租赁;搬迁;提供房地产经营信息咨询服务
85,厦门市友联盛达贸易有限公司,批发零售化工产品;建筑材料;金属材料;针纺织品;百货;五金交电;普通机械;汽车零部件
86,厦门市思明区兴帆贸易公司,农副产品;其他食品;副食品;电器机械及器材;五金;矿产;有色金属;针纺织品;化工产品
